distance_bin,agent_helping_rate,human_helping_rate
0-2,0.3465201465201465,0.09446623093681918
3-5,0.14807302231237324,0.08286882199925678
6-10,0.05888767720828789,0.07970440749538137
11+,0.013647690613711438,0.0592071391796808
