turn,partner_helped_last,agent_helping_rate,human_helping_rate
0,No,0.13496932515337423,0.09320695102685624
1,No,0.005970149253731343,0.04386484884410195
1,Yes,0.11127293912030294,0.46153846153846156
2,No,0.06160999709386806,0.047126436781609195
2,Yes,0.039755351681957186,0.49056603773584906
3,No,0.05056179775280899,0.042328042328042326
3,Yes,0.02022274325908558,0.5297619047619048
4,No,0.11114360924246856,0.064330844342332
4,Yes,0.12893982808022922,0.4810126582278481
5,No,0.07729468599033816,0.05780691299165673
5,Yes,0.06887298747763863,0.5654450261780105
6,No,0.14684287812041116,0.07942028985507246
6,Yes,0.11294765840220386,0.3563218390804598
7,No,0.022929936305732482,0.0869047619047619
7,Yes,0.08871701546860783,0.20634920634920634
8,No,0.0718032786885246,0.07678883071553229
8,Yes,0.0946372239747634,0.05555555555555555
9,No,0.0216,0.04503464203233257
9,Yes,0.039672544080604534,0.072992700729927
